,COMPANY,investor,ValueCr.,Sep 2023%,Jun 2023%,Mar 2023%,Dec 2022%,Sep 2022%
16,Sandur Manganese & Iron Ores Ltd.,dolly-khanna,0.0,-,-,-,-,-
4,Sangam (India) Ltd.,madhusudan-kela,94.34,5.85,5.85,1.11,1.11,1.11
23,Sanghvi Movers Ltd.,anil-goel,0.0,-,1.05,1.05,1.05,1.05
45,Sarda Energy & Minerals Ltd.,mukul-agrawal,97.13,1.19,1.19,1.19,1.19,1.14
16,Sarda Energy & Minerals Ltd.,sunil-singhania,179.56,2.19,2.19,2.18,2.11,1.89
24,Sarla Performance Fibers Ltd.,anil-goel,14.09,3.33,3.33,3.33,3.33,3.33
17,Sastasundar Ventures Ltd.,ashish-kacholia,26.34,1.88,1.88,1.88,1.88,1.88
18,Shaily Engineering Plastics Ltd.,ashish-kacholia,31.71,9.63,9.63,10.62,10.62,10.62
39,Shankara Building Products Ltd.,ashish-kacholia,31.81,1.97,1.97,1.97,1.97,1.97
46,Shankara Building Products Ltd.,mukul-agrawal,38.78,2.41,2.41,2.41,2.41,2.41
23,Shantiguru Industries Ltd.,ashok-kumar-jain,0.36,2.69,-,-,-,-
17,Sharda Cropchem Ltd.,dolly-khanna,0.0,-,-,-,-,1.02
15,Shilp Gravures Ltd.,ashok-kumar-jain,0.0,-,3.12,2.42,2.42,2.42
20,Shiva Texyarn Ltd.,ashok-kumar-jain,0.0,-,2.03,1.26,1.21,1.10
12,Simran Farms Ltd.,dolly-khanna,0.91,1.44,1.88,2.04,2.17,2.17
33,Singer India Ltd.,rakesh-jhunjhunwala,48.9,6.95,6.95,6.95,7.91,7.91
17,Siyaram Silk Mills Ltd.,sunil-singhania,49.13,1.88,1.93,2.14,2.11,2.08
16,Siyaram Silk Mills Ltd.,vijay-kedia,28.11,1.08,1.08,1.08,1.07,-
15,Skipper Ltd.,ajay-upadhyaya,43.52,1.66,1.09,-,-,-
24,Som Distilleries Breweries & Wineries Ltd.,dolly-khanna,26.27,1.13,1.31,1.29,-,-
25,South India Paper Mills Ltd.,anil-goel,32.7,9.07,9.07,9.07,11.35,11.35
38,Sportking India Ltd.,anil-goel,23.06,2.16,-,-,-,-
26,Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,anil-goel,0.77,5.52,5.52,5.52,5.52,5.52
24,Star Health and Allied Insurance Company Ltd.,rakesh-jhunjhunwala,996.13,3.06,17.31,17.32,17.32,17.42
27,Star Paper Mills Ltd.,anil-goel,5.38,1.57,1.59,1.59,1.59,1.59
28,Stove Kraft Ltd.,ashish-kacholia,27.69,1.75,1.75,1.75,1.76,1.76
61,Stylam Industries Ltd.,mukul-agrawal,0.0,-,-,-,1.19,-
23,Stylam Industries Ltd.,sunil-singhania,77.85,2.50,2.50,2.50,2.39,2.27
10,Sudarshan Chemical Industries Ltd.,vijay-kedia,46.14,1.44,1.44,1.44,1.44,1.44
62,Sula Vineyards Ltd.,mukul-agrawal,96.29,2.37,2.37,2.38,1.90,-
35,Sun Pharma Advanced Research Company Ltd.,rakesh-jhunjhunwala,161.87,1.94,1.94,1.94,-,-
10,Sundaram Finance Holdings Ltd.,radhakishan-damani,66.14,1.88,1.88,1.88,1.88,1.88
11,Sundaram Finance Ltd.,radhakishan-damani,824.88,2.37,2.37,2.37,2.37,2.37
58,Surya Roshni Ltd.,mukul-agrawal,40.62,1.47,1.84,2.02,1.71,1.30
63,Suryoday Small Finance Bank Ltd.,mukul-agrawal,48.03,2.83,2.83,1.88,1.88,-
67,Suzlon Energy Ltd.,mukul-agrawal,0.0,-,1.04,-,-,-
46,Systango Technologies Ltd.,ashish-kacholia,10.93,3.09,-,1.55,-,-
34,TAAL Enterprises Ltd.,mukul-agrawal,75.84,8.92,8.92,8.92,-,-
20,TARC Ltd.,ashish-kacholia,73.4,2.22,2.22,2.22,2.22,1.86
28,TCPL Packaging Ltd.,anil-goel,220.86,10.34,10.39,10.37,10.17,10.48
9,TRF Ltd.,dilipkumar-lakhi,0.0,-,1.57,1.65,1.65,1.65
29,TTK Healthcare Ltd.,sunil-singhania,21.15,1.13,-,-,-,-
13,Talbros Automotive Components Ltd.,dolly-khanna,6.06,1.57,1.50,1.03,1.18,1.22
11,Talbros Automotive Components Ltd.,vijay-kedia,4.7,1.22,1.22,1.31,1.31,2.27
35,Tasty Bite Eatables Ltd.,mukul-agrawal,0.0,-,1.17,1.17,1.17,1.17
25,Tata Communications Ltd.,rakesh-jhunjhunwala,899.08,1.84,1.84,1.79,1.79,1.61
26,Tata Motors Ltd.,rakesh-jhunjhunwala,3621.14,1.60,1.57,1.57,1.57,1.11
27,Tata Motors Ltd. - DVR Ordinary,rakesh-jhunjhunwala,450.92,1.92,1.92,1.97,1.97,1.40
18,Technocraft Industries (India) Ltd.,sunil-singhania,140.81,2.82,2.82,3.20,2.97,2.80
12,Tejas Networks Ltd.,vijay-kedia,262.98,1.89,2.01,2.02,2.29,2.56
19,The Anup Engineering Ltd.,sunil-singhania,104.8,3.85,3.83,4.06,4.23,4.77
28,The Federal Bank Ltd.,rakesh-jhunjhunwala,1069.98,3.12,3.47,3.48,3.48,-
12,The India Cements Ltd.,radhakishan-damani,1399.37,20.78,20.78,20.78,20.79,20.79
